"id","player.name","xA","play_pattern.name","pass.length","pass.angle","pass.height.name","pass.body_part.name","start.X","start.Y","end.X","end.Y","pass.outcome"
"3f99dbfa-96cd-449b-b475-3d1f233dad1c","Joan Verdú Fernández",0.026528677,"Regular Play",15.935495,-1.805121,"Low Pass","Left Foot",108.5,65.7,104.8,50.2,"No goal"
"ed132bef-9c5e-4c84-bc42-0538efcb8baa","Ronaldo de Assis Moreira",0.17829755,"Regular Play",13.110301,1.945637,"Ground Pass","Right Foot",106.6,28.7,101.8,40.9,"No goal"
"8f0d5045-e8fe-4f56-bf7a-11f436189b54","Joan Verdú Fernández",0.040908556,"Regular Play",31.848705,1.2013682,"High Pass","Left Foot",78.3,2,89.8,31.7,"No goal"
"97948648-c6d1-487f-bc05-c78c58e330ed","Sergio González Soriano",0.017169498,"From Free Kick",43.455723,-0.87664735,"High Pass","Right Foot",71.3,63.4,99.1,30,"No goal"
"bde54e77-5a5e-4546-bdc7-2905cae86889","Joan Verdú Fernández",0.12533627,"Regular Play",26.728636,-0.7853982,"High Pass","Right Foot",86.3,70.3,105.2,51.4,"No goal"
"b2ce5320-0cd3-47e1-9313-c5052f1191ee","Lionel Andrés Messi Cuccittini",0.1658662,"From Counter",14.169333,-1.6697627,"Ground Pass","Left Foot",107.2,58.8,105.8,44.7,"No goal"
"9dc33620-5b95-4c1f-ad34-1f3213a3d797","Alexandre Geijo Pazos",0.021890478,"Regular Play",23.769728,-1.0318198,"Ground Pass","Left Foot",71.3,32.5,83.5,12.1,"No goal"
"451e78f1-3d78-40d7-8363-952a7c6166ef","Samuel Eto""o Fils",0.22798827,"Regular Play",29.451654,-1.8388351,"Ground Pass","Right Foot",117.6,60.9,109.8,32.5,"No goal"
"6a450486-8c3f-45b0-bca3-1a84e689475b","Alexandre Geijo Pazos",0.019419929,"From Throw In",4.604346,-3.0981417,"Ground Pass","Left Foot",78.4,26.6,73.8,26.4,"No goal"
"57e9a6ff-ced5-4123-a570-7d06e034d60c","Ronaldo de Assis Moreira",0.07058318,"From Goal Kick",36.71294,1.7681919,"High Pass","Left Foot",117.2,10,110,46,"No goal"
